AR,Closure Time,PS Rate,Seed,Strain,Traction
1,80.4,0,1.0,0.006322366976810214,0.23048810115974225
1,66.0,0,2.0,0.006490746841294666,0.2457368659491407
1,72.0,0,3.0,0.00624550452625442,0.23116095595448571
1,84.0,0,4.0,0.005932613336977827,0.22516371878033575
1,81.6,0,5.0,0.0054725013600849,0.22437986724390327
1,63.6,1.0,1.0,0.005455434436482674,0.2365560407249891
1,63.6,1.0,2.0,0.006042188843368302,0.2427274734774031
1,60.00000000000001,1.0,3.0,0.005777249398702261,0.2427305568665853
1,67.2,1.0,4.0,0.006444392941095609,0.24305533267301443
1,64.80000000000001,1.0,5.0,0.006944547482096149,0.2516220400398738
1,55.2,2.0,1.0,0.006141696464325473,0.24728556606958058
1,60.00000000000001,2.0,2.0,0.006435214402816521,0.24492146868665135
1,57.60000000000001,2.0,3.0,0.0074168657616679986,0.2567789577089337
1,57.60000000000001,2.0,4.0,0.006544628122486837,0.2508063225408946
1,60.00000000000001,2.0,5.0,0.006847089027007527,0.2550693031807934
1,57.60000000000001,4.0,1.0,0.006618052132813187,0.2523029895427838
1,61.2,4.0,2.0,0.0058871649847365105,0.23908642317973203
1,62.400000000000006,4.0,3.0,0.005785898492822309,0.24386248624951581
1,61.2,4.0,4.0,0.006397723134108992,0.24175976629677365
1,52.800000000000004,4.0,5.0,0.006978247814343371,0.25730785579057386
1,85.20000000000002,8.0,1.0,0.004815964767375254,0.21282715979723074
1,85.20000000000002,8.0,2.0,0.005290097350569809,0.2163027595261079
1,66.0,8.0,3.0,0.006134337648330004,0.24102742218806408
1,50.4,8.0,4.0,0.006031649582680194,0.24760184214770087
1,66.0,8.0,5.0,0.006222074132664463,0.24230902054850187
1,91.20000000000002,16.0,1.0,0.0038639170315969,0.19925813923488997
1,74.4,16.0,2.0,0.005388397175691235,0.2248512622776536
1,90.0,16.0,3.0,0.004722353477536276,0.20868809347857092
1,90.0,16.0,4.0,0.004466034770153345,0.20738698162932356
1,92.4,16.0,5.0,0.0047712461271730905,0.20795017320187908
1,94.80000000000001,1000,1.0,0.00441033959303772,0.2005324123120622
1,100.8,1000,2.0,0.004389775196153859,0.19766943715479007
1,103.2,1000,3.0,0.004090046147293705,0.19600116632629297
1,96.00000000000001,1000,4.0,0.0046336044137740675,0.20103772607648682
1,99.60000000000001,1000,5.0,0.004467462566922135,0.20195013329081457
1.5,90.0,0,1.0,0.0055971374107123655,0.22308494425488412
1.5,94.80000000000001,0,2.0,0.005709618550741827,0.22206004479030553
1.5,72.0,0,3.0,0.006861971808072205,0.24269951723552932
1.5,84.0,0,4.0,0.006027976489396806,0.2333761115956476
1.5,76.80000000000001,0,5.0,0.0060472242389352174,0.2348548932506985
1.5,56.400000000000006,1.0,1.0,0.006591061963498177,0.2577692313228667
1.5,62.400000000000006,1.0,2.0,0.006538252193188451,0.2528042729048542
1.5,60.00000000000001,1.0,3.0,0.006649533599967013,0.25366768708862875
1.5,62.400000000000006,1.0,4.0,0.005920488588680963,0.24736388649607643
1.5,74.4,1.0,5.0,0.0063696068724009075,0.24489262289036434
1.5,54.0,2.0,1.0,0.006858586891163498,0.25569782501402216
1.5,58.80000000000001,2.0,2.0,0.006455213796460238,0.2494150549344365
1.5,60.00000000000001,2.0,3.0,0.006480422978346393,0.25342440915188985
1.5,51.6,2.0,4.0,0.0060803306980872635,0.2535922212906438
1.5,63.6,2.0,5.0,0.006432702880798452,0.24439352452908297
1.5,57.60000000000001,4.0,1.0,0.006835473659288587,0.25135031945029906
1.5,55.2,4.0,2.0,0.007622792116438233,0.26370358585224335
1.5,56.400000000000006,4.0,3.0,0.006976958156012839,0.25752839943808975
1.5,75.60000000000001,4.0,4.0,0.005852485972423458,0.23117193321619856
1.5,61.2,4.0,5.0,0.007303491417120512,0.2572707427380132
1.5,98.40000000000002,8.0,1.0,0.004829189194854464,0.20468790306439597
1.5,91.20000000000002,8.0,2.0,0.005117450040254491,0.21828824098782154
1.5,61.2,8.0,3.0,0.00644141726303168,0.24511150566158058
1.5,75.60000000000001,8.0,4.0,0.005792079901008352,0.2332237102017575
1.5,93.60000000000001,8.0,5.0,0.00528988650098391,0.21617533560706745
1.5,94.80000000000001,16.0,1.0,0.004846785815924459,0.2120459580709841
1.5,110.4,16.0,2.0,0.0037531724047652685,0.19378863479249697
1.5,86.4,16.0,3.0,0.005525071074421767,0.22317385090123767
1.5,90.0,16.0,4.0,0.004850592816049561,0.21403464482525894
1.5,109.20000000000002,16.0,5.0,0.004624607856016064,0.20078483192978433
1.5,103.2,1000,1.0,0.004790751698146316,0.2068277171883925
1.5,92.4,1000,2.0,0.004480259130524754,0.2037379495821748
1.5,109.20000000000002,1000,3.0,0.00468198988673394,0.19565798126061446
1.5,118.80000000000001,1000,4.0,0.004027554074361642,0.19053822773581403
1.5,102.00000000000001,1000,5.0,0.004390783756860998,0.1995651974390774
2,67.2,0,1.0,0.005990203915777214,0.24248457506484655
2,86.4,0,2.0,0.005512577243804817,0.22815397380859828
2,62.400000000000006,0,3.0,0.005899483138586003,0.24399977709914417
2,64.80000000000001,0,4.0,0.0060063748912361605,0.23776652778674295
2,62.400000000000006,0,5.0,0.00616161515254001,0.24373442737062184
2,72.0,1.0,1.0,0.006286690176565002,0.24170711981919202
2,67.2,1.0,2.0,0.007323287432446188,0.2586761510734474
2,58.80000000000001,1.0,3.0,0.0067457927257811665,0.2562026425536242
2,73.2,1.0,4.0,0.0062787486228846,0.24009508532700866
2,50.4,1.0,5.0,0.006098706150201987,0.25571899650837027
