Radius,PS Rate,Seed,Closure Time,Traction,Strain
5.0,0.0,1,25.2,0.21249948922112577,0.0025186125838506674
5.0,0.0,2,24.000000000000004,0.21287098004033275,0.0022885815680350583
5.0,0.0,3,21.6,0.21402593455620592,0.0022149484846729264
5.0,0.0,4,19.200000000000003,0.2175561838859135,0.0021588498019243286
5.0,0.0,5,19.200000000000003,0.21362565389377106,0.002149761120360673
5.0,1.0,1,18.0,0.21395409833272283,0.0023034676363392938
5.0,1.0,2,22.800000000000004,0.21836958141885227,0.00241071190038042
5.0,1.0,3,21.6,0.21402593455620592,0.0022149484846729264
5.0,1.0,4,19.200000000000003,0.22190322280553912,0.0021812514943777787
5.0,1.0,5,13.200000000000001,0.20740720586011752,0.0018553856111966404
5.0,2.0,1,19.200000000000003,0.22006223758154184,0.0024856274605213964
5.0,2.0,2,13.200000000000001,0.21538128495945474,0.0021789582986474335
5.0,2.0,3,16.8,0.21298526647015534,0.0020638927965319813
5.0,2.0,4,9.600000000000001,0.2213444336618238,0.002009815160910546
5.0,2.0,5,19.200000000000003,0.20939533344444985,0.002108768698193349
5.0,4.0,1,13.200000000000001,0.2130347845493811,0.002214771984487981
5.0,4.0,2,13.200000000000001,0.22341540188364742,0.002890467730414124
5.0,4.0,3,13.200000000000001,0.22141134641410629,0.002395725596134835
5.0,4.0,4,15.600000000000001,0.23025305581026803,0.002573900776048543
5.0,4.0,5,8.4,0.20446461267135121,0.0019412225400439204
5.0,8.0,1,13.200000000000001,0.2243447965546782,0.0024851442424457235
5.0,8.0,2,10.8,0.21594816184780002,0.002380390882224767
5.0,8.0,3,16.8,0.22237381059843023,0.00282947247688279
5.0,8.0,4,10.8,0.22490544519323064,0.002535364140488379
5.0,8.0,5,12.000000000000002,0.21526444501560907,0.00214740115407183
5.0,16.0,1,9.600000000000001,0.21927654502806865,0.002496944611866254
5.0,16.0,2,9.600000000000001,0.21667863921013603,0.0022545161863601324
5.0,16.0,3,7.200000000000001,0.19951995813951498,0.0018753459667893004
5.0,16.0,4,7.200000000000001,0.21227577212397244,0.002110230177986173
5.0,16.0,5,8.4,0.22102067462710362,0.003209637717299832
5.0,1000.0,1,7.200000000000001,0.20553336002928796,0.0021046199686568837
5.0,1000.0,2,7.200000000000001,0.20025997767844256,0.001792795071676152
5.0,1000.0,3,7.200000000000001,0.19408259127059863,0.0018591393287364698
5.0,1000.0,4,7.200000000000001,0.20432466284397385,0.0019317180789475692
5.0,1000.0,5,8.4,0.21511808842770994,0.0025445759085086722
10.0,0.0,1,42.0,0.23289326288882883,0.0035085831658178543
10.0,0.0,2,42.0,0.22944877768612265,0.0032709732602321183
10.0,0.0,3,43.2,0.22864364025541722,0.0034346811633199073
10.0,0.0,4,39.6,0.22600591828293215,0.0032022231092986857
10.0,0.0,5,39.6,0.22993320688048816,0.0032275227353432898
10.0,1.0,1,42.0,0.2513119948665043,0.004208525733287593
10.0,1.0,2,34.800000000000004,0.24355457027361302,0.0037828897287318316
10.0,1.0,3,44.400000000000006,0.2328651587953831,0.0035825166041452876
10.0,1.0,4,32.400000000000006,0.24193893099906447,0.003487096343222952
10.0,1.0,5,34.800000000000004,0.24222618985122535,0.003681458406601298
10.0,2.0,1,36.0,0.2456627007723112,0.0038590428771259925
10.0,2.0,2,34.800000000000004,0.24702781104966628,0.0043179488192053965
10.0,2.0,3,42.0,0.2358116172689152,0.00353218690612036
