E,PS Rate,Seed,Closure Time,Traction,Strain
8,1,4,60,0.262201113,0.004646617
8,2,4,61.2,0.26594552,0.004947774
8,4,4,46.8,0.288331417,0.006126691
8,8,4,84,0.235546727,0.004601238
8,16,4,85.2,0.232561464,0.004381749
8,1000,4,100.8,0.224017585,0.004214564
16,0,4,80.4,0.27093975,0.003512955
16,1,4,67.2,0.281466011,0.003471386
16,2,4,61.2,0.298045665,0.004407372
16,4,4,52.8,0.284352045,0.003593555
16,8,4,86.4,0.249517308,0.003265209
16,16,4,86.4,0.246614902,0.003376499
16,1000,4,104.4,0.223173366,0.002685552
1,0,5,85.2,0.200893337,0.008548534
1,1,5,63.6,0.184283681,0.007978998
1,2,5,50.4,0.194069817,0.008203604
1,4,5,58.8,0.177066262,0.006630224
1,8,5,74.4,0.170180733,0.006646797
1,16,5,70.8,0.174421594,0.00624727
1,1000,5,88.8,0.154252922,0.005049751
2,0,5,76.8,0.204971041,0.007116734
2,1,5,68.4,0.213999975,0.007764002
2,2,5,75.6,0.213997042,0.007454919
2,4,5,54,0.220813425,0.006987495
2,8,5,60,0.216625603,0.006483247
2,16,5,86.4,0.18658976,0.00548395
2,1000,5,98.4,0.18253426,0.005070999
4,0,5,82.8,0.224379867,0.005472501
4,1,5,66,0.25162204,0.006944547
4,2,5,61.2,0.255069303,0.006847089
4,4,5,54,0.257307856,0.006978248
4,8,5,67.2,0.242309021,0.006222074
4,16,5,93.6,0.207950173,0.004771246
4,1000,5,100.8,0.201950133,0.004467463
8,0,5,79.2,0.247908326,0.004514704
8,1,5,60,0.2865542,0.005873051
8,2,5,56.4,0.284780127,0.005665272
8,4,5,64.8,0.258505876,0.005213458
8,8,5,86.4,0.235026271,0.004089323
8,16,5,84,0.234330193,0.004177834
8,1000,5,98.4,0.219166028,0.00380974
16,0,5,69.6,0.289147026,0.003717994
16,1,5,81.6,0.282360354,0.004287132
16,2,5,68.4,0.280371739,0.003506691
16,4,5,55.2,0.296769066,0.004301774
16,8,5,73.2,0.273530821,0.004230367
16,16,5,78,0.255134828,0.003656229
16,1000,5,97.2,0.232762845,0.002965972
0.125,0,1,73.2,0.087222898,0.006695686
0.125,1,1,72,0.089874467,0.00675237
0.125,2,1,46.8,0.090795299,0.007463158
0.125,4,1,55.2,0.088555442,0.00675823
0.125,8,1,73.2,0.088698526,0.00624949
0.125,1000,1,80.4,0.083636031,0.005459126
0.125,16,1,57.6,0.087580062,0.006146585
0.25,0,1,82.8,0.117779647,0.007439605
0.25,1,1,66,0.127248142,0.00800085
0.25,2,1,52.8,0.129059628,0.008168301
0.25,4,1,49.2,0.1252246,0.00719655
0.25,8,1,63.6,0.120594183,0.006545011
0.25,1000,1,84,0.114171678,0.005906924
0.25,16,1,76.8,0.121006693,0.006601362
0.5,0,1,84,0.162193375,0.008146949
0.5,1,1,74.4,0.164296422,0.007861739
0.5,2,1,57.6,0.175915753,0.008851606
0.5,4,1,60,0.171988993,0.008175314
0.5,8,1,55.2,0.179738238,0.009082121
0.5,1000,1,84,0.153314437,0.00630407
0.5,16,1,58.8,0.166898367,0.007353566
0.125,0,2,80.4,0.088253775,0.006897021
0.125,1,2,72,0.089072857,0.006789609
0.125,2,2,51.6,0.088437739,0.00685894
0.125,4,2,49.2,0.089913884,0.007234954
0.125,8,2,57.6,0.091120951,0.006957944
0.125,1000,2,81.6,0.084445938,0.005737094
0.125,16,2,72,0.087125379,0.006226796
0.25,0,2,73.2,0.12469465,0.007812126
0.25,1,2,94.8,0.125620479,0.008262811
0.25,2,2,56.4,0.129745491,0.008442918
0.25,4,2,46.8,0.128867415,0.008630909
0.25,8,2,64.8,0.127306008,0.007755583
0.25,1000,2,85.2,0.115045637,0.006007651
0.25,16,2,84,0.120065705,0.006581142
0.5,0,2,69.6,0.164857394,0.007895329
0.5,1,2,66,0.171209558,0.008707311
0.5,2,2,54,0.173399613,0.008146637
0.5,4,2,60,0.168800394,0.008060241
0.5,8,2,76.8,0.164061732,0.007375974
0.5,1000,2,88.8,0.150934107,0.006079903
0.5,16,2,80.4,0.158999247,0.006680881
0.125,0,3,74.4,0.086813673,0.006668476
0.125,1,3,84,0.089386429,0.006923712
0.125,2,3,50.4,0.086220136,0.00606619
0.125,4,3,56.4,0.089861854,0.006757549
0.125,8,3,52.8,0.090898944,0.007056744
0.125,1000,3,82.8,0.083383897,0.005677648
0.125,16,3,74.4,0.089645328,0.006591718
0.25,0,3,93.6,0.12154654,0.008274923
0.25,1,3,57.6,0.129550958,0.007987853
0.25,2,3,56.4,0.132233654,0.008548227
0.25,4,3,51.6,0.127039183,0.007894696
0.25,8,3,63.6,0.126958057,0.00746042
0.25,1000,3,86.4,0.113372587,0.005888855
0.25,16,3,82.8,0.117572339,0.006370523
0.5,0,3,79.2,0.160306893,0.008301809
0.5,1,3,58.8,0.174809435,0.008616062
0.5,2,3,60,0.182166407,0.011011941
0.5,4,3,52.8,0.173579051,0.00859751
0.5,8,3,63.6,0.169206839,0.007730334
0.5,1000,3,88.8,0.14879397,0.006126479
