P0,PS Rate,Seed,Total T1s,Closure Time,Traction,Strain,Guidance,Rearrangement,T1 Rate
2.6,0.0,1,104.0,123.60000000000001,0.19790404772999004,0.008237562228032258,0.6551217339667459,0.3448782660332541,0.8414239482200647
2.6,0.0,2,32.0,103.2,0.20940580423697647,0.00796129298341413,0.6550768882858435,0.34492311171415646,0.31007751937984496
2.6,0.0,3,84.0,126.00000000000001,0.21090464247472782,0.008566964526030686,0.6676759436478303,0.33232405635216966,0.6666666666666666
2.6,0.0,4,71.0,85.20000000000002,0.22559207326803904,0.009021733397347806,0.6530176672858781,0.34698233271412193,0.8333333333333331
2.6,0.0,5,76.0,111.6,0.20108513274194809,0.008009408566337242,0.6614409499358151,0.33855905006418485,0.6810035842293907
2.6,1.0,1,225.0,87.60000000000002,0.2205037853746232,0.00813983657345799,0.7120528882450162,0.2879471117549838,2.568493150684931
2.6,1.0,2,76.0,66.0,0.224727360719344,0.007295222781923932,0.7977090920409624,0.2022909079590376,1.1515151515151516
2.6,1.0,3,167.0,91.20000000000002,0.22830980029932046,0.008576179627451757,0.7775240695840493,0.2224759304159507,1.8311403508771926
2.6,1.0,4,151.0,75.60000000000001,0.22315140489274224,0.007925961139566985,0.7467929292929293,0.2532070707070707,1.9973544973544972
2.6,1.0,5,120.0,88.80000000000001,0.2124336776008904,0.007242780905620308,0.775893540599423,0.22410645940057705,1.351351351351351
2.6,2.0,1,195.0,76.80000000000001,0.23133319881143252,0.008067922555439226,0.8186476085761407,0.18135239142385928,2.5390624999999996
2.6,2.0,2,48.0,88.80000000000001,0.21092106878424835,0.007126934372566582,0.8470210795056596,0.15297892049434036,0.5405405405405405
2.6,2.0,3,56.0,86.4,0.22768224556685226,0.00870181072075683,0.8674964228122374,0.13250357718776262,0.6481481481481481
2.6,2.0,4,79.0,79.2,0.21812135063850616,0.007549869888194468,0.8191715533957901,0.18082844660420994,0.9974747474747474
2.6,2.0,5,112.0,73.2,0.2207055422761217,0.007104467309266017,0.8380852233348469,0.16191477666515308,1.530054644808743
2.6,4.0,1,72.0,102.00000000000001,0.1979821316867625,0.007163863051560624,0.8996149205877007,0.10038507941229935,0.7058823529411764
2.6,4.0,2,36.0,88.80000000000001,0.2098581606012702,0.0075272631529616964,0.9215154720973288,0.07848452790267124,0.4054054054054054
2.6,4.0,3,88.0,105.60000000000001,0.2030451749245112,0.007594425439617937,0.9094216842178917,0.09057831578210829,0.8333333333333333
2.6,4.0,4,87.0,115.20000000000002,0.17930256840281555,0.005860569079484656,0.8843284151421291,0.11567158485787088,0.7552083333333333
2.6,4.0,5,60.0,88.80000000000001,0.19740596788662448,0.006539329727974808,0.9115368776106525,0.0884631223893475,0.6756756756756755
2.6,8.0,1,68.0,115.20000000000002,0.18470404716630853,0.006482450536740821,0.930613706478625,0.06938629352137504,0.5902777777777777
2.6,8.0,2,44.0,128.4,0.17366000961153152,0.005843973589041469,0.9585594912371516,0.04144050876284844,0.3426791277258567
2.6,8.0,3,84.0,111.6,0.1911152027018198,0.0065051595912317345,0.909563340527976,0.09043665947202395,0.7526881720430108
2.6,8.0,4,79.0,114.0,0.1803995248778475,0.00642402586423083,0.9238852735598939,0.07611472644010608,0.6929824561403509
2.6,8.0,5,64.0,100.8,0.19025806525850583,0.006294723526207553,0.9089128141586993,0.09108718584130071,0.6349206349206349
2.6,16.0,1,76.0,130.8,0.16390459526777268,0.004974226207481526,0.9393947030214449,0.0606052969785551,0.581039755351682
2.6,16.0,2,36.0,120.00000000000001,0.1760776889189665,0.006159301461522868,0.9606234358665695,0.03937656413343049,0.3
2.6,16.0,3,68.0,128.4,0.17883572753770108,0.0068079876047957635,0.9608405501070274,0.0391594498929726,0.5295950155763239
2.6,16.0,4,68.0,123.60000000000001,0.17173482316149463,0.0059937991802277634,0.9379001019367992,0.06209989806320082,0.5501618122977346
2.6,16.0,5,60.0,124.80000000000001,0.17033448685018882,0.005709555473942074,0.9445395646992754,0.05546043530072464,0.4807692307692307
2.6,1000.0,1,68.0,126.00000000000001,0.17172998972410333,0.006292314656908645,0.9696340675185203,0.030365932481479674,0.5396825396825397
2.6,1000.0,2,32.0,112.80000000000001,0.1743273015714103,0.005787352481874553,0.9877526954177898,0.012247304582210239,0.2836879432624113
2.6,1000.0,3,68.0,126.00000000000001,0.17396347929978212,0.0064877583486076746,0.9742737514568136,0.025726248543186392,0.5396825396825397
2.6,1000.0,4,75.0,126.00000000000001,0.16636537657988137,0.0057700690772944365,0.951301261829653,0.04869873817034698,0.5952380952380951
2.6,1000.0,5,52.0,127.2,0.16011418282555667,0.005209926577643013,0.9568631001655629,0.04313689983443714,0.40880503144654085
2.8000000000000003,0.0,1,79.0,85.20000000000002,0.21402137526445164,0.007091590787878186,0.6952294872360125,0.3047705127639875,0.9272300469483566
2.8000000000000003,0.0,2,72.0,88.80000000000001,0.21158659953467163,0.007394499402229425,0.6731313578062804,0.3268686421937196,0.8108108108108107
2.8000000000000003,0.0,3,128.0,112.80000000000001,0.2072108180432311,0.007654429976268953,0.6407706650093226,0.35922933499067744,1.1347517730496453
2.8000000000000003,0.0,4,92.0,78.0,0.2176848005912925,0.0074826829353098,0.6123614510576483,0.3876385489423517,1.1794871794871795
2.8000000000000003,0.0,5,72.0,98.40000000000002,0.2032067044800537,0.0068424056266074215,0.6581482320942883,0.3418517679057117,0.7317073170731706
2.8000000000000003,1.0,1,220.0,74.4,0.22108273058615402,0.0066723184076466074,0.7634289734184212,0.2365710265815788,2.9569892473118276
2.8000000000000003,1.0,2,92.0,66.0,0.22962225983093681,0.0068845819849533306,0.7998858483685829,0.2001141516314171,1.393939393939394
2.8000000000000003,1.0,3,80.0,63.6,0.24150122761185444,0.007542142093223215,0.7865491533990396,0.21345084660096036,1.2578616352201257
2.8000000000000003,1.0,4,148.0,100.8,0.21241200906188,0.006931321328697477,0.6900830199647574,0.3099169800352426,1.4682539682539684
2.8000000000000003,1.0,5,96.0,88.80000000000001,0.2150188893592295,0.007313813508945812,0.721964921308804,0.27803507869119604,1.081081081081081
2.8000000000000003,2.0,1,136.0,73.2,0.21912354144961396,0.006183648811938979,0.7925022448368751,0.20749775516312485,1.8579234972677594
2.8000000000000003,2.0,2,80.0,64.80000000000001,0.2261320702902424,0.006721505304795144,0.817386975325928,0.18261302467407203,1.2345679012345676
2.8000000000000003,2.0,3,112.0,78.0,0.23130080434348407,0.007811335756733156,0.8103932222594186,0.18960677774058143,1.435897435897436
2.8000000000000003,2.0,4,165.0,70.80000000000001,0.2284479746575655,0.007176751349142242,0.7637851561537135,0.23621484384628655,2.3305084745762707
2.8000000000000003,2.0,5,104.0,62.400000000000006,0.2326677554524002,0.007001317465730893,0.8075058732566093,0.19249412674339073,1.6666666666666665
2.8000000000000003,4.0,1,108.0,66.0,0.22043297665355263,0.0072289547971261066,0.859074850960477,0.14092514903952302,1.6363636363636365
2.8000000000000003,4.0,2,48.0,98.40000000000002,0.19158762173452074,0.005914415117536392,0.95068359375,0.04931640625,0.48780487804878037
2.8000000000000003,4.0,3,68.0,114.0,0.18861279761879243,0.005683903293517226,0.8988924101283652,0.10110758987163482,0.5964912280701754
2.8000000000000003,4.0,4,128.0,93.60000000000001,0.19462518779450774,0.005933409759196587,0.8837113402061856,0.11628865979381442,1.3675213675213673
2.8000000000000003,4.0,5,84.0,64.80000000000001,0.22543436085038127,0.006895124746469082,0.8693888812249966,0.13061111877500342,1.296296296296296
2.8000000000000003,8.0,1,88.0,98.40000000000002,0.1864872565521416,0.005150424827633096,0.9153697861899754,0.08463021381002456,0.8943089430894308
2.8000000000000003,8.0,2,44.0,106.80000000000001,0.17374988512279532,0.004739507721723837,0.9611056662673781,0.038894333732621855,0.4119850187265917
2.8000000000000003,8.0,3,60.0,93.60000000000001,0.1961053007293144,0.005955153750261463,0.9618480492813142,0.03815195071868582,0.641025641025641
2.8000000000000003,8.0,4,88.0,96.00000000000001,0.18482488618566484,0.005298259682175754,0.9091021869351008,0.09089781306489919,0.9166666666666665
2.8000000000000003,8.0,5,68.0,97.2,0.1904816393585269,0.0057303636120867255,0.9083312230944542,0.09166877690554576,0.6995884773662551
2.8000000000000003,16.0,1,100.0,128.4,0.1642074883855838,0.004512799934771665,0.9268031405541693,0.07319685944583065,0.778816199376947
2.8000000000000003,16.0,2,24.0,103.2,0.18070093753608227,0.0055262439503808835,0.9755425678442468,0.024457432155753245,0.23255813953488372
2.8000000000000003,16.0,3,64.0,120.00000000000001,0.18136578930532654,0.005596732862529935,0.9571621474801719,0.04283785251982808,0.5333333333333332
2.8000000000000003,16.0,4,95.0,106.80000000000001,0.18111845924484227,0.004991104494825421,0.9300873907615481,0.06991260923845188,0.8895131086142322
2.8000000000000003,16.0,5,44.0,93.60000000000001,0.18610501069677396,0.005398138151834059,0.9512466194939428,0.04875338050605715,0.47008547008547
2.8000000000000003,1000.0,1,72.0,111.6,0.16655952323773449,0.004575667874413754,0.9561041107209254,0.04389588927907462,0.6451612903225806
2.8000000000000003,1000.0,2,28.0,96.00000000000001,0.18096042284872493,0.004922462692644565,0.9856738662628517,0.014326133737148306,0.29166666666666663
2.8000000000000003,1000.0,3,52.0,108.0,0.18512770555296937,0.006139135176291251,0.9717955642575026,0.028204435742497425,0.48148148148148145
2.8000000000000003,1000.0,4,75.0,115.20000000000002,0.16589171729477264,0.004653691728446074,0.9485093250247338,0.05149067497526616,0.6510416666666665
2.8000000000000003,1000.0,5,56.0,104.4,0.17955577588972033,0.005354971438888801,0.9638848455442341,0.03611515445576585,0.5363984674329502
3.0,0.0,1,83.0,105.60000000000001,0.20262072381417048,0.005636767341616732,0.6310071711441722,0.36899282885582785,0.7859848484848484
3.0,0.0,2,84.0,92.4,0.2098046625721807,0.006091744008039359,0.6482862048729596,0.3517137951270404,0.9090909090909091
3.0,0.0,3,116.0,106.80000000000001,0.21028986265537558,0.006761045083679857,0.6598665541836031,0.34013344581639693,1.0861423220973783
3.0,0.0,4,80.0,76.80000000000001,0.21763059950013608,0.006689720921878256,0.6262648926383809,0.3737351073616191,1.0416666666666665
3.0,0.0,5,76.0,91.20000000000002,0.21906397196103114,0.007172882910173593,0.6489246970754298,0.35107530292457023,0.8333333333333331
3.0,1.0,1,136.0,82.80000000000001,0.21633080264147836,0.006242914604599483,0.70484524304113,0.29515475695886995,1.6425120772946857
3.0,1.0,2,200.0,66.0,0.22972140746697223,0.0061815386795766045,0.8133636250466825,0.18663637495331753,3.0303030303030303
3.0,1.0,3,96.0,75.60000000000001,0.24098652106136909,0.007789467936826236,0.725438201055395,0.274561798944605,1.2698412698412698
3.0,1.0,4,136.0,68.4,0.22649183799402509,0.006545338491079431,0.717446235049694,0.28255376495030604,1.9883040935672514
3.0,1.0,5,136.0,68.4,0.23483601737783408,0.007212593606108728,0.7549060050680653,0.24509399493193473,1.9883040935672514
3.0,2.0,1,220.0,66.0,0.23112052234064093,0.00637432218750754,0.7849734961972805,0.21502650380271948,3.3333333333333335
3.0,2.0,2,108.0,64.80000000000001,0.22844859522832667,0.006362469168219576,0.8087429974192736,0.19125700258072642,1.6666666666666663
3.0,2.0,3,112.0,81.6,0.22120647279132413,0.006350338741239083,0.8600908563696115,0.13990914363038853,1.3725490196078431
3.0,2.0,4,127.0,61.2,0.22610648015089507,0.00694285294205335,0.7684935797056061,0.23150642029439394,2.07516339869281
3.0,2.0,5,140.0,55.2,0.23919411779529484,0.006683025594998543,0.8636245207875832,0.13637547921241677,2.5362318840579707
3.0,4.0,1,88.0,58.80000000000001,0.23513513193846997,0.006469732384295283,0.8676935600012523,0.1323064399987477,1.496598639455782
3.0,4.0,2,68.0,62.400000000000006,0.21988018548009863,0.005598355771311372,0.9355882935852546,0.06441170641474536,1.0897435897435896
3.0,4.0,3,56.0,60.00000000000001,0.23378704281700363,0.0068846911505179,0.8717440923737916,0.12825590762620842,0.9333333333333332
3.0,4.0,4,91.0,69.60000000000001,0.2101825122963692,0.0054771595071990385,0.8597237540045166,0.14027624599548338,1.307471264367816
3.0,4.0,5,80.0,66.0,0.22296845010687336,0.006288016919975595,0.8775386393182146,0.12246136068178537,1.2121212121212122
3.0,8.0,1,72.0,88.80000000000001,0.1943987146081185,0.00551057091171931,0.9376232547132602,0.062376745286739754,0.8108108108108107
3.0,8.0,2,56.0,79.2,0.2080101529567971,0.00549061171843823,0.9412801839785359,0.058719816021464144,0.7070707070707071
